;day_id;year;month;day;time_id;station_id;value;latitude;longitude
79;201941;2019;4;1;7;28079035;0.5;40.4192091;-3.7031662
80;201941;2019;4;1;8;28079024;0.2;40.4193577;-3.7473445
81;201941;2019;4;1;8;28079039;0.3;40.4782322;-3.7115364
82;201941;2019;4;1;8;28079057;0.3;40.4942012;-3.6605173
83;201941;2019;4;1;8;28079035;0.6;40.4192091;-3.7031662
84;201941;2019;4;1;8;28079008;0.2;40.4215533;-3.6823158
85;201941;2019;4;1;8;28079004;0.5;40.4238823;-3.7122567
86;201941;2019;4;1;8;28079016;0.4;40.4400457;-3.6392422
87;201941;2019;4;1;8;28079056;0.4;40.3850336;-3.7187679
88;201941;2019;4;1;8;28079018;0.5;40.3947825;-3.7318356
89;201941;2019;4;1;8;28079036;0.7;40.4079517;-3.6453104
90;201941;2019;4;1;9;28079004;0.6;40.4238823;-3.7122567
91;201941;2019;4;1;9;28079039;0.4;40.4782322;-3.7115364
92;201941;2019;4;1;9;28079008;0.3;40.4215533;-3.6823158
93;201941;2019;4;1;9;28079024;0.3;40.4193577;-3.7473445
94;201941;2019;4;1;9;28079016;0.3;40.4400457;-3.6392422
95;201941;2019;4;1;9;28079057;0.3;40.4942012;-3.6605173
96;201941;2019;4;1;9;28079035;0.7;40.4192091;-3.7031662
97;201941;2019;4;1;9;28079036;1.0;40.4079517;-3.6453104
98;201941;2019;4;1;9;28079018;0.5;40.3947825;-3.7318356
99;201941;2019;4;1;9;28079056;0.5;40.3850336;-3.7187679
100;201941;2019;4;1;10;28079039;0.3;40.4782322;-3.7115364
101;201941;2019;4;1;10;28079024;0.3;40.4193577;-3.7473445
102;201941;2019;4;1;10;28079004;0.5;40.4238823;-3.7122567
103;201941;2019;4;1;10;28079057;0.3;40.4942012;-3.6605173
104;201941;2019;4;1;10;28079008;0.3;40.4215533;-3.6823158
105;201941;2019;4;1;10;28079036;0.6;40.4079517;-3.6453104
106;201941;2019;4;1;10;28079035;0.6;40.4192091;-3.7031662
107;201941;2019;4;1;10;28079016;0.3;40.4400457;-3.6392422
108;201941;2019;4;1;10;28079056;0.4;40.3850336;-3.7187679
109;201941;2019;4;1;10;28079018;0.4;40.3947825;-3.7318356
110;201941;2019;4;1;11;28079056;0.3;40.3850336;-3.7187679
111;201941;2019;4;1;11;28079016;0.3;40.4400457;-3.6392422
112;201941;2019;4;1;11;28079024;0.3;40.4193577;-3.7473445
113;201941;2019;4;1;11;28079035;0.6;40.4192091;-3.7031662
114;201941;2019;4;1;11;28079018;0.4;40.3947825;-3.7318356
115;201941;2019;4;1;11;28079039;0.2;40.4782322;-3.7115364
116;201941;2019;4;1;11;28079004;0.5;40.4238823;-3.7122567
117;201941;2019;4;1;11;28079036;0.8;40.4079517;-3.6453104
118;201941;2019;4;1;11;28079008;0.2;40.4215533;-3.6823158
119;201941;2019;4;1;12;28079018;0.4;40.3947825;-3.7318356
120;201941;2019;4;1;12;28079036;0.6;40.4079517;-3.6453104
121;201941;2019;4;1;12;28079024;0.3;40.4193577;-3.7473445
122;201941;2019;4;1;12;28079004;0.4;40.4238823;-3.7122567
123;201941;2019;4;1;12;28079056;0.3;40.3850336;-3.7187679
124;201941;2019;4;1;12;28079035;0.7;40.4192091;-3.7031662
125;201941;2019;4;1;12;28079016;0.3;40.4400457;-3.6392422
126;201941;2019;4;1;12;28079039;0.2;40.4782322;-3.7115364
127;201941;2019;4;1;12;28079008;0.2;40.4215533;-3.6823158
128;201941;2019;4;1;13;28079056;0.3;40.3850336;-3.7187679
129;201941;2019;4;1;13;28079004;0.5;40.4238823;-3.7122567
130;201941;2019;4;1;13;28079035;0.6;40.4192091;-3.7031662
131;201941;2019;4;1;13;28079008;0.2;40.4215533;-3.6823158
132;201941;2019;4;1;13;28079024;0.3;40.4193577;-3.7473445
133;201941;2019;4;1;13;28079016;0.3;40.4400457;-3.6392422
134;201941;2019;4;1;13;28079057;0.3;40.4942012;-3.6605173
135;201941;2019;4;1;13;28079039;0.3;40.4782322;-3.7115364
136;201941;2019;4;1;13;28079018;0.4;40.3947825;-3.7318356
137;201941;2019;4;1;13;28079036;0.4;40.4079517;-3.6453104
138;201941;2019;4;1;14;28079039;0.3;40.4782322;-3.7115364
139;201941;2019;4;1;14;28079008;0.2;40.4215533;-3.6823158
140;201941;2019;4;1;14;28079036;0.3;40.4079517;-3.6453104
141;201941;2019;4;1;14;28079056;0.3;40.3850336;-3.7187679
142;201941;2019;4;1;14;28079057;0.3;40.4942012;-3.6605173
143;201941;2019;4;1;14;28079018;0.4;40.3947825;-3.7318356
144;201941;2019;4;1;14;28079004;0.5;40.4238823;-3.7122567
145;201941;2019;4;1;14;28079024;0.3;40.4193577;-3.7473445
146;201941;2019;4;1;14;28079035;0.6;40.4192091;-3.7031662
147;201941;2019;4;1;15;28079036;0.4;40.4079517;-3.6453104
148;201941;2019;4;1;15;28079057;0.3;40.4942012;-3.6605173
149;201941;2019;4;1;15;28079004;0.5;40.4238823;-3.7122567
150;201941;2019;4;1;15;28079008;0.1;40.4215533;-3.6823158
151;201941;2019;4;1;15;28079024;0.2;40.4193577;-3.7473445
152;201941;2019;4;1;15;28079039;0.3;40.4782322;-3.7115364
153;201941;2019;4;1;15;28079018;0.4;40.3947825;-3.7318356
154;201941;2019;4;1;15;28079056;0.3;40.3850336;-3.7187679
155;201941;2019;4;1;15;28079035;0.6;40.4192091;-3.7031662
156;201941;2019;4;1;15;28079016;0.3;40.4400457;-3.6392422
157;201941;2019;4;1;16;28079056;0.3;40.3850336;-3.7187679
158;201941;2019;4;1;16;28079057;0.3;40.4942012;-3.6605173
159;201941;2019;4;1;16;28079036;0.4;40.4079517;-3.6453104
160;201941;2019;4;1;16;28079024;0.2;40.4193577;-3.7473445
